# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
libfdisk                                                               2.37.4-25.el9.x86_64                     rpm      ubi9-base
cracklib                                                               2.9.6-28.el9.x86_64                      rpm      ubi9-base
cracklib-dicts                                                         2.9.6-28.el9.x86_64                      rpm      ubi9-base
python3-inotify                                                        0.9.6-25.el9.noarch                      rpm      ubi9-base
dbus-libs                                                              1.12.20-8.el9.x86_64                     rpm      ubi9-base
python3-dbus                                                           1.2.18-2.el9.x86_64                      rpm      ubi9-base
python3-systemd                                                        234-19.el9.x86_64                        rpm      ubi9-base
util-linux-core                                                        2.37.4-25.el9.x86_64                     rpm      ubi9-base
which                                                                  2.21-30.el9_6.x86_64                     rpm      ubi9-base
systemd-rpm-macros                                                     252-67.el9_8.4.noarch                    rpm      ubi9-base
python3-pysocks                                                        1.7.1-12.el9.noarch                      rpm      ubi9-base
python3-urllib3                                                        1.26.5-8.el9_8.noarch                    rpm      ubi9-base
python3-librepo                                                        1.19.0-1.el9.x86_64                      rpm      ubi9-base
python3-decorator                                                      4.4.2-6.el9.noarch                       rpm      ubi9-base
python3-chardet                                                        4.0.0-5.el9.noarch                       rpm      ubi9-base
python3-requests                                                       2.25.1-10.el9_6.noarch                   rpm      ubi9-base
python3-cloud-what                                                     1.29.50-1.el9.x86_64                     rpm      ubi9-base
python3-subscription-manager-rhsm                                      1.29.50-1.el9.x86_64                     rpm      ubi9-base
psmisc                                                                 23.4-3.el9.x86_64                        rpm      ubi9-base
openssl                                                                3.5.5-6.el9_8.x86_64                     rpm      ubi9-base
libutempter                                                            1.2.1-6.el9.x86_64                       rpm      ubi9-base
libseccomp                                                             2.5.2-2.el9.x86_64                       rpm      ubi9-base
libmnl                                                                 1.0.4-16.el9_4.x86_64                    rpm      ubi9-base
libeconf                                                               0.4.1-7.el9_8.x86_64                     rpm      ubi9-base
libdb                                                                  5.3.28-57.el9_6.x86_64                   rpm      ubi9-base
pam                                                                    1.5.1-28.el9.x86_64                      rpm      ubi9-base
libpwquality                                                           1.4.4-8.el9.x86_64                       rpm      ubi9-base
util-linux                                                             2.37.4-25.el9.x86_64                     rpm      ubi9-base
libuser                                                                0.63-17.el9.x86_64                       rpm      ubi9-base
passwd                                                                 0.80-12.el9.x86_64                       rpm      ubi9-base
usermode                                                               1.114-7.el9.x86_64                       rpm      ubi9-base
virt-what                                                              1.27-2.el9.x86_64                        rpm      ubi9-base
libbpf                                                                 1.5.0-3.el9.x86_64                       rpm      ubi9-base
iproute                                                                6.17.0-2.el9.x86_64                      rpm      ubi9-base
kmod-libs                                                              28-11.el9.x86_64                         rpm      ubi9-base
gobject-introspection                                                  1.68.0-11.el9.x86_64                     rpm      ubi9-base
python3-gobject-base-noarch                                            3.40.1-6.el9.noarch                      rpm      ubi9-base
python3-gobject-base                                                   3.40.1-6.el9.x86_64                      rpm      ubi9-base
acl                                                                    2.4.0-1.el9_8.x86_64                     rpm      ubi9-base
